product_id,product_name,brand,category,primary_average,primary_weight,primary_contribution,secondary_average,secondary_weight,secondary_contribution,final_score,category_rule,attributes_used,attributes_excluded,scoring_basis,has_disqualifying_ingredient,primary_listed,primary_matched,secondary_listed,secondary_matched,unmatched_ingredients
Roop-28,The Face shop Rice Water Bright Cleansing Foam,The Face Shop,Cleanser,75.56,0.5,37.78,82.22,0.5,41.11,78.89,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-29,Biodance Hydro Cera-Nol Real Deep Mask,Biodance,Mask,76.67,0.5,38.33,76.67,0.5,38.33,76.67,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-30,The face shop Rice Ceramide Moisturizing Emulsion,The Face Shop,Toner,71.11,0.5,35.56,71.11,0.5,35.56,71.11,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-31,Innisfree Green Tea Amino Hydrating Cleansing Foam,Innisfree,Cleanser,76.67,0.5,38.33,87.78,0.5,43.89,82.22,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-32,Innisfree Volcanic BHA Pore Cleansing Foam,Innisfree,Cleanser,82.22,0.5,41.11,87.78,0.5,43.89,85.0,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-33,Innisfree Super Volcanic Pore Clay Mask,Innisfree,Mask,71.11,0.5,35.56,76.67,0.5,38.33,73.89,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-34,La Roche-Posay Anthelios UVMune 400*,La Roche-Posay,Sunscreen,95.0,0.5,47.5,95.0,0.5,47.5,95.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,2,2,3,3,
Roop-35,"Dot & Key Vitamin C + E Super Bright Sunscreen, SPF 50+ PA++++ In-Vivo Tested(50g)",Dot & key,Sunscreen,95.0,0.5,47.5,95.0,0.5,47.5,95.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-36,"Dot & Key Watermelon Cooling Sunscreen, SPF 50+ PA++++ In-Vivo Tested(50 g)",Dot & key,Sunscreen,95.0,0.5,47.5,95.0,0.5,47.5,95.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-37,Dot & Key Blueberry Hydrate Barrier Repair Sunscreen SPF 50+ PA++++ In-Vivo Tested(50 g),Dot & key,Sunscreen,95.0,0.5,47.5,93.33,0.5,46.67,94.17,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-38,Anua Heartleaf Quercetinol Pore Deep Cleansing Foam with 0.5% BHA For Gentle Exfoliation,Anua,Cleanser,76.67,0.5,38.33,93.33,0.5,46.67,85.0,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-39,"Anua Niacinamide 10 Txa 4 Serum, Brightening Korean Serum For Dark Spots & Hyperpigmentation",Anua,Serum,82.22,0.8,65.78,76.67,0.2,15.33,81.11,all_attributes_80_20,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-40,Arencia Fresh Green Rice Mochi Cleanser(120g),Arencia,Cleanser,81.11,0.5,40.56,93.33,0.5,46.67,87.22,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-41,Anua Rice 70 Glow Milky Toner,Anua,Toner,82.22,0.5,41.11,76.67,0.5,38.33,79.44,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-43,"Anua Heartleaf Pore Control Cleansing Oil Removes Makeup, Excess Sebum, Blackheads & Clogged Pores",Anua,Cleanser,65.56,0.5,32.78,71.11,0.5,35.56,68.33,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-45,The Face Shop Rice Water Bright Moisture Sunscreen SPF50+ PA++++,The Face Shop,Sunscreen,85.0,0.5,42.5,95.0,0.5,47.5,90.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-46,The Face Shop Natural Sun Eco Super Perfect Sun Cream SPF 50+ PA++++,The Face Shop,Sunscreen,86.67,0.5,43.33,93.33,0.5,46.67,90.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-47,The Face Shop Jeju Aloe Fresh Soothing Gel,The Face Shop,Moisturizer,95.0,0.5,47.5,95.0,0.5,47.5,95.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-48,"Cetaphil Gentle Skin Cleanser For Normal, Dry Skin Hydrates And Softens",Cetaphil,Cleanser,82.22,0.5,41.11,76.67,0.5,38.33,79.44,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-49,Cetaphil Moisturising Cream Restores Damaged Skin Barrier In 1 Week,Cetaphil,Moisturizer,95.0,0.5,47.5,85.0,0.5,42.5,90.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-50,CeraVe Moisturizer Cream For Dry Skin With Ceramides & Hyaluronic Acid For Barrier Repair,CeraVe,Moisturizer,95.0,0.5,47.5,85.0,0.5,42.5,90.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-51,CeraVe Blemish Control Cleanser with 2% Salicylic Acid & Niacinamide for Acne-prone skin,CeraVe,Cleanser,87.78,0.5,43.89,93.33,0.5,46.67,90.56,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-52,CeraVe Moisturizing Lotion for Normal to Dry Skin with Ceramides & Hyaluronic Acid,CeraVe,Body Care,76.67,0.5,38.33,76.67,0.5,38.33,76.67,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-53,Brinton Healthcare Uvdoux Face & Body Sunscreen Gel,Uv Doux,Sunscreen,95.0,0.5,47.5,93.33,0.5,46.67,94.17,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,2,2,3,3,
Roop-54,Brinton UV Doux D-Tan Aqua Sunscreen Lotion SPF 50 PA ++++,Uv Doux,Sunscreen,95.0,0.5,47.5,90.0,0.5,45.0,92.5,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-55,Brinton UV Doux Blue Sunscreen,Uv Doux,Sunscreen,95.0,0.5,47.5,91.67,0.5,45.83,93.33,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,2,3,3,
Roop-56,SKIN1004 Madagascar Centella Tone Brightening Capsule Serum(30ml),SKIN1004,Serum,76.67,0.8,61.33,76.67,0.2,15.33,76.67,all_attributes_80_20,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-57,Skin1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum For All Skin Types SPF 50(50ml),SKIN1004,Sunscreen,86.67,0.5,43.33,95.0,0.5,47.5,90.83,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-58,SKIN1004 Madagascar Centella Poremizing Fresh Ampoule(30ml),SKIN1004,Serum,71.11,0.8,56.89,76.67,0.2,15.33,72.22,all_attributes_80_20,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-59,TIRTIR Milk Skin Light Toner(150ml),Tirtir,Toner,82.22,0.5,41.11,76.67,0.5,38.33,79.44,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-65,Minimalist Salicylic Acid & LHA 2% Body Wash With Niacinamide,Minimalist,Body Care,87.78,0.5,43.89,87.78,0.5,43.89,87.78,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-66,"Minimalist 5% Niacinamide Body Lotion With Shea Butter, Glycerine & Betaine",Minimalist,Body Care,76.67,0.5,38.33,75.56,0.5,37.78,76.11,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-68,Minimalist 2% Salicylic Acid + LHA Face Cleanser With Zinc For Reducing Sebum & Acne,Minimalist,Cleanser,93.33,0.5,46.67,87.78,0.5,43.89,90.56,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,2,2,3,3,
Roop-69,Minimalist Alpha Lipoic +Giycolic 7% Cleanser With Vitamin b5,Minimalist,Cleanser,76.67,0.5,38.33,82.22,0.5,41.11,79.44,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-70,"Be Bodywise 5% AHA BHA De-Tan Body Wash - For Body Acne, Strawberry Skin & Exfoliating",Be Bodywise,Body Care,76.67,0.5,38.33,82.22,0.5,41.11,79.44,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-71,"Be Bodywise 10% Niacinamide Body Lotion - 48H Moisturization, Reduces Acne Marks, Nourishes Skin",Be Bodywise,Body Care,82.22,0.5,41.11,71.11,0.5,35.56,76.67,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-72,Be Bodywise 10% Urea Body Lotion With Ceramide For Very Dry & Flaky Skin,Be Bodywise,Body Care,65.56,0.5,32.78,71.11,0.5,35.56,68.33,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-73,"Be Bodywise 5 Lactic Acid Body Lotion - For 24H Moisturization, Improved Skin Texture, Smooth Skin",Be Bodywise,Body Care,71.11,0.5,35.56,71.11,0.5,35.56,71.11,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-74,Be Bodywise 1 Salicylic Acid Body Wash,Be Bodywise,Body Care,76.67,0.5,38.33,87.78,0.5,43.89,82.22,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-75,Be Bodywise Hyaluronic Acid Body Wash For Dry Skin - With 3 Essential Ceramides & Aloe Vera Extract,Be Bodywise,Body Care,75.56,0.5,37.78,93.33,0.5,46.67,84.44,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-76,"Minimalist 2% Salicylic Acid Face Serum Reduces Oil, Blackheads & Acne (30ml)",Minimalist,Serum,93.33,0.8,74.67,76.67,0.2,15.33,90.0,all_attributes_80_20,Oily + Acne + Above 25,,primary_and_secondary,False,1,1,3,3,
Roop-77,"Minimalist 2% Hyaluronic Acid + PGA with Face Serum For Deep, Multilevel Hydration (30ml)",Minimalist,Serum,76.67,0.8,61.33,71.11,0.2,14.22,75.56,all_attributes_80_20,Oily + Acne + Above 25,,primary_and_secondary,False,4,4,3,3,
Roop-78,Minimalist 10% Vitamin C Face Serum Brightens & Illuminates Skin For All Skin Type (30ml),Minimalist,Serum,76.67,0.8,61.33,71.11,0.2,14.22,75.56,all_attributes_80_20,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-79,"Minimalist 8% Glycolic Acid Toner For Glowing Skin for Body, Face, Underarms & Scalp (150ml)",Minimalist,Toner,75.56,0.5,37.78,76.67,0.5,38.33,76.11,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-80,Minimalist 3% Tranexamic Acid Face Serum for Melasma- Acne Scars- Hyperpigmentation Or (PIH-PIE) (30 ml),Minimalist,Serum,85.0,0.8,68.0,87.78,0.2,17.56,85.56,all_attributes_80_20,Oily + Acne + Above 25,,primary_and_secondary,False,2,2,3,3,
Roop-81,Beauty of Joseon Dynasty Cream (50ml),Beauty of joseon,Moisturizer,95.0,0.5,47.5,95.0,0.5,47.5,95.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-82,Round Lab 1025 Dokdo Cleanser (150 ml,Round Lab,Cleanser,76.67,0.5,38.33,93.33,0.5,46.67,85.0,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-83,Round Lab 1025 Dokdo Toner (100 ml),Round Lab,Toner,76.67,0.5,38.33,76.67,0.5,38.33,76.67,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-84,Venusia Moisturizing Cream | Body & Face Cream | 24 hrs Moisturization | 100 g,Venusia,Moisturizer,86.67,0.5,43.33,95.0,0.5,47.5,90.83,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-85,Venusia Max Intensive Moisturizing Lotion Normal To Dry Skin With 4D Hyaluronic + Polyglutamic Acid(300g),Venusia,Body Care,51.11,0.5,25.56,76.67,0.5,38.33,63.89,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,2,2,
Roop-86,Venusia Max Intensive Moisturizing Cream Dry To Very Dry Skin With 4D Hyaluronic + Polyglutamic Acid(150g),Venusia,Body Care,51.11,0.5,25.56,76.67,0.5,38.33,63.89,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,2,2,
Roop-87,Minimalist Retinol 0.3% Face Serum(30ml),Minimalist,Serum,93.33,0.8,74.67,76.67,0.2,15.33,90.0,all_attributes_80_20,Oily + Acne + Above 25,,primary_and_secondary,False,2,2,3,3,
Roop-88,COSRX The Retinol 0.1 Cream(20ml),Cosrx,Serum,80.0,0.8,64.0,72.5,0.2,14.5,78.5,all_attributes_80_20,Oily + Acne + Above 25,,primary_and_secondary,False,1,1,4,4,
Roop-89,Minimalist Retinal 0.1% Face Serum(20ml),Minimalist,Serum,86.67,0.8,69.33,76.67,0.2,15.33,84.67,all_attributes_80_20,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-90,"Chemist at Play 1% Salicylic Acid & 4% Lactic Acid Exfoliating Body Wash, Detans & Treats Bumpy Skin",Chemist at play,Body Care,76.67,0.5,38.33,87.78,0.5,43.89,82.22,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-91,"Chemist at Play Vitamin C Brightening Body Wash, with Glycolic Acid & Camu Camu, Fades Dark Spots",Chemist at play,Body Care,80.83,0.5,40.42,83.33,0.5,41.67,82.08,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,4,4,3,3,
Roop-92,Chemist At Play AHA Body Lotion With Niacinamide Shea Butter Moisturizer For All Skin Types,Chemist at play,Body Care,76.67,0.5,38.33,76.67,0.5,38.33,76.67,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-93,"Chemist at Play 1% Salicylic Acid Acne Body Wash for Oily Skin, Treats Body Acne & Fades Acne marks(236ml)",Chemist at play,Body Care,82.22,0.5,41.11,83.33,0.5,41.67,82.78,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-94,Medicube Collagen Night Wrapping Mask,Medicube,Mask,82.22,0.5,41.11,71.11,0.5,35.56,76.67,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-95,"Cetaphil Sun SPF 50+ Light Gel With Vitamin E Water & Sweat Resistant Sun Protection
(50ml)",Cetaphil,Sunscreen,95.0,0.5,47.5,95.0,0.5,47.5,95.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
