Unmatched Ingredient,Role,Mention Count,Product Count,Classification,Best Candidate Canonical Ingredient,Candidate Score,Mapping Basis,Confidence,Reason,Recommended Next Step
Dextrin Palmitate,Secondary,2,2,NOT_SAFE_TO_MAP,Retinyl Palmitate,0.824,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Fractionated Coconut Oil,Primary,2,2,NOT_SAFE_TO_MAP,Coconut Oil,0.629,Related chemical but not equivalent,HIGH,"Fractionated coconut oil is caprylic/capric triglyceride, a different material.",DO_NOT_MAP
Fructose And Glycerine,Secondary,2,2,NOT_SAFE_TO_MAP,Glycerin,0.533,No reliable equivalence,HIGH,The cell lists more than one ingredient; it should be split in the dataset.,DO_NOT_MAP
Glycerin And Glyceryl Glucoside,Secondary,2,2,NOT_SAFE_TO_MAP,Glyceryl Glucoside,0.735,No reliable equivalence,HIGH,The cell lists more than one ingredient; it should be split in the dataset.,DO_NOT_MAP
Glycol Distearate,Primary,2,2,NOT_SAFE_TO_MAP,Glyceryl Stearate,0.824,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Hydrated Silica,Secondary,2,2,NOT_SAFE_TO_MAP,Silica,0.571,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Hydrolyzed Cicer Seed Extract,Secondary,2,2,NOT_SAFE_TO_MAP,Hydrolyzed Rice Extract,0.846,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Lactobacillus Ferment Lysate,Secondary,2,2,NOT_SAFE_TO_MAP,Lactococcus Ferment Lysate,0.852,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Oligopeptide-68,Secondary,2,2,NOT_SAFE_TO_MAP,Oligopeptide-1,0.897,Related chemical but not equivalent,HIGH,"Peptide numbers differ, so these are different sequences.",DO_NOT_MAP
Olus Oil,Secondary,2,2,NOT_SAFE_TO_MAP,Lotus Oil,0.824,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Palmitoyl Tripeptide-8,Primary + Secondary,2,2,NOT_SAFE_TO_MAP,Palmitoyl Tripeptide-5,0.955,Related chemical but not equivalent,HIGH,"Peptide numbers differ, so these are different sequences.",DO_NOT_MAP
Pentapeptide-34 Trifluoroacetate,Secondary,2,2,NOT_SAFE_TO_MAP,Peptide,0.359,Related chemical but not equivalent,HIGH,A specific named peptide cannot be scored as the generic peptide entry.,DO_NOT_MAP
Peppermint Leaf Water,Secondary,2,2,NOT_SAFE_TO_MAP,Peppermint,0.645,Same source but different material,HIGH,A leaf water is not the plant entry.,DO_NOT_MAP
Sesame Seed Oil Olive Fruit Oil,Secondary,2,2,NOT_SAFE_TO_MAP,Olive Fruit Oil,0.652,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Sh-Oligopeptide-1,Primary,2,2,NOT_SAFE_TO_MAP,Oligopeptide-1,0.903,Related chemical but not equivalent,HIGH,"The 'sh-' prefix marks a synthetic human recombinant peptide, a distinct INCI entity.",DO_NOT_MAP
Sh-Polypeptide-123,Primary + Secondary,2,2,NOT_SAFE_TO_MAP,Polypeptide,0.759,Related chemical but not equivalent,HIGH,"The 'sh-' prefix marks a synthetic human recombinant peptide, a distinct INCI entity.",DO_NOT_MAP
Sunflower Sprout Extract,Primary,2,2,NOT_SAFE_TO_MAP,Sunflower Seed Extract,0.826,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Synthetic Beeswax,Primary + Secondary,2,2,NOT_SAFE_TO_MAP,Beeswax,0.583,Related chemical but not equivalent,HIGH,"Synthetic beeswax is its own INCI material, not the natural wax.",DO_NOT_MAP
Tranexamoyl dipeptide-23,Secondary,2,2,NOT_SAFE_TO_MAP,Peptide,0.452,Related chemical but not equivalent,HIGH,A specific named peptide cannot be scored as the generic peptide entry.,DO_NOT_MAP
Trisiloxane,Primary + Secondary,2,2,NOT_SAFE_TO_MAP,Drometrizole Trisiloxane / Mexoryl XL,0.458,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Xylitol Rhamnosis,Secondary,2,2,NOT_SAFE_TO_MAP,Xylitol,0.583,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
40 Hydrogenated Castor Oil,Secondary,1,1,NOT_SAFE_TO_MAP,Peg-60 Hydrogenated Castor Oil,0.893,Related chemical but not equivalent,HIGH,PEG-40 and PEG-60 differ in ethoxylation; explicitly not interchangeable.,DO_NOT_MAP
Acetyl Dipeptide- 1 Cetyl Ester,Primary,1,1,NOT_SAFE_TO_MAP,Peptide,0.368,Related chemical but not equivalent,HIGH,A specific named peptide cannot be scored as the generic peptide entry.,DO_NOT_MAP
Acetyl Dipeptide-1 Cetyl Ester,Secondary,1,1,NOT_SAFE_TO_MAP,Peptide,0.378,Related chemical but not equivalent,HIGH,A specific named peptide cannot be scored as the generic peptide entry.,DO_NOT_MAP
Acetyl Glutamine,Secondary,1,1,NOT_SAFE_TO_MAP,acetyl glucosamine,0.882,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Acetyl Heptapeptide-4,Primary,1,1,NOT_SAFE_TO_MAP,Acetyl Heptapeptide-9,0.952,Related chemical but not equivalent,HIGH,"Peptide numbers differ, so these are different sequences.",DO_NOT_MAP
Acetyl Hexapeptide-1,Primary,1,1,NOT_SAFE_TO_MAP,Acetyl Hexapeptide-8,0.95,Related chemical but not equivalent,HIGH,"Peptide numbers differ, so these are different sequences.",DO_NOT_MAP
Acetyl Hexapeptide-4,Primary,1,1,NOT_SAFE_TO_MAP,Acetyl Hexapeptide-8,0.95,Related chemical but not equivalent,HIGH,"Peptide numbers differ, so these are different sequences.",DO_NOT_MAP
Acetyl Tetrapeptide-15,Primary,1,1,NOT_SAFE_TO_MAP,Acetyl Tetrapeptide-11,0.955,Related chemical but not equivalent,HIGH,"Peptide numbers differ, so these are different sequences.",DO_NOT_MAP
Acetyl Tetrapeptide-9,Secondary,1,1,NOT_SAFE_TO_MAP,Acetyl Tetrapeptide-2,0.952,Related chemical but not equivalent,HIGH,"Peptide numbers differ, so these are different sequences.",DO_NOT_MAP
Acetyl tetrapeptide-15,Primary,1,1,NOT_SAFE_TO_MAP,Acetyl Tetrapeptide-11,0.955,Related chemical but not equivalent,HIGH,"Peptide numbers differ, so these are different sequences.",DO_NOT_MAP
AcetylDipeptide-1 Cetyl Ester,Secondary,1,1,NOT_SAFE_TO_MAP,Peptide,0.389,Related chemical but not equivalent,HIGH,A specific named peptide cannot be scored as the generic peptide entry.,DO_NOT_MAP
Alpha Arbutin Ammonium,Primary,1,1,NOT_SAFE_TO_MAP,Alpha Arbutin,0.743,Related chemical but not equivalent,HIGH,"An ammonium salt of the active, not the active.",DO_NOT_MAP
Aluminum Sucrose Octasulfate,Secondary,1,1,NOT_SAFE_TO_MAP,Sucrose,0.4,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Anhydroxylitol And Xylitol,Secondary,1,1,NOT_SAFE_TO_MAP,Xylitol,0.424,No reliable equivalence,HIGH,The cell lists more than one ingredient; it should be split in the dataset.,DO_NOT_MAP
Ascorbic Acid Polypeptide,Primary,1,1,NOT_SAFE_TO_MAP,Polypeptide,0.611,Related chemical but not equivalent,HIGH,A specific named peptide cannot be scored as the generic peptide entry.,DO_NOT_MAP
Bala Root Extract,Secondary,1,1,NOT_SAFE_TO_MAP,Bael Root Extract,0.941,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Bitter Orange Leaf,Secondary,1,1,NOT_SAFE_TO_MAP,Orange,0.5,Same source but different material,HIGH,Leaf material versus the generic fruit entry.,DO_NOT_MAP
C Cholesterol/lanosterol Esters,Primary,1,1,NOT_SAFE_TO_MAP,Cholesterol,0.524,No reliable equivalence,HIGH,Truncated fragment; the full ingredient name cannot be recovered safely.,DO_NOT_MAP
Caprylyl Methicone And Peg-12 Dimethicone,Primary,1,1,NOT_SAFE_TO_MAP,Dimethicone,0.423,No reliable equivalence,HIGH,The cell lists more than one ingredient; it should be split in the dataset.,DO_NOT_MAP
Ceramide NS,Primary,1,1,NOT_SAFE_TO_MAP,Ceramide NP,0.909,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Cetearyl,Secondary,1,1,NOT_SAFE_TO_MAP,Cetearyl Alcohol,0.667,No reliable equivalence,HIGH,Truncated fragment; the full ingredient name cannot be recovered safely.,DO_NOT_MAP
Citrus Unshiu Peel Extract,Primary,1,1,NOT_SAFE_TO_MAP,Citrus Sinensis Peel Extract,0.852,Related chemical but not equivalent,HIGH,Different Citrus species.,DO_NOT_MAP
Copper,Secondary,1,1,NOT_SAFE_TO_MAP,Copper Peptides,0.571,No reliable equivalence,HIGH,Truncated fragment; the full ingredient name cannot be recovered safely.,DO_NOT_MAP
Cyclopentasiloxane And Dimethicone,Primary,1,1,NOT_SAFE_TO_MAP,Dimethicone,0.489,No reliable equivalence,HIGH,The cell lists more than one ingredient; it should be split in the dataset.,DO_NOT_MAP
Cyclopentasiloxane And Dimethicone Crosspolymer,Primary,1,1,NOT_SAFE_TO_MAP,Dimethicone,0.379,No reliable equivalence,HIGH,The cell lists more than one ingredient; it should be split in the dataset.,DO_NOT_MAP
Cyclotetrapeptide-24Aminocyclohexane Carboxylate,Primary,1,1,NOT_SAFE_TO_MAP,Tetrapeptide,0.4,Related chemical but not equivalent,HIGH,A specific named peptide cannot be scored as the generic peptide entry.,DO_NOT_MAP
Date Extract,Primary,1,1,NOT_SAFE_TO_MAP,Oat Extract,0.87,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Diethylhexyl,Secondary,1,1,NOT_SAFE_TO_MAP,Iscotrizinol / Diethylhexyl Butamido Triazone / Uvasorb HEB,0.338,No reliable equivalence,HIGH,Truncated fragment; the full ingredient name cannot be recovered safely.,DO_NOT_MAP
Diethylhexyl Carbonate¸ Propanediol,Secondary,1,1,NOT_SAFE_TO_MAP,Propanediol,0.478,No reliable equivalence,HIGH,The cell lists more than one ingredient; it should be split in the dataset.,DO_NOT_MAP
Diglucosyl Gallic Acid,Secondary,1,1,NOT_SAFE_TO_MAP,Gallic Acid,0.667,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
EGF Peptides,Primary,1,1,NOT_SAFE_TO_MAP,Peptides,0.8,Related chemical but not equivalent,HIGH,A specific named peptide cannot be scored as the generic peptide entry.,DO_NOT_MAP
Ethoxydiglycol Ethylhexylglycerin,Secondary,1,1,NOT_SAFE_TO_MAP,Ethylhexylglycerin,0.706,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Ethyl Alcohol,Secondary,1,1,NOT_SAFE_TO_MAP,Cetyl Alcohol,0.923,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Fatty Acids,Secondary,1,1,NOT_SAFE_TO_MAP,Omega fatty acids,0.786,No reliable equivalence,HIGH,"Names a class of materials, not a specific ingredient.",DO_NOT_MAP
Glyceryl Acrylate,Secondary,1,1,NOT_SAFE_TO_MAP,Glyceryl Stearate,0.824,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Glyceryl Glucoside And Alpha Arbutin,Primary,1,1,NOT_SAFE_TO_MAP,Glyceryl Glucoside,0.667,No reliable equivalence,HIGH,The cell lists more than one ingredient; it should be split in the dataset.,DO_NOT_MAP
Glyceryl Sesquistearate,Secondary,1,1,NOT_SAFE_TO_MAP,Glyceryl Stearate,0.85,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Gold Peptide,Primary,1,1,NOT_SAFE_TO_MAP,Goldrella Peptide,0.828,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Grape Fruit Water,Secondary,1,1,NOT_SAFE_TO_MAP,Grape Fruit Extract,0.778,Same source but different material,HIGH,Water and extract differ.,DO_NOT_MAP
Heptapeptide-15 Palmitate,Secondary,1,1,NOT_SAFE_TO_MAP,Peptide,0.438,Related chemical but not equivalent,HIGH,A specific named peptide cannot be scored as the generic peptide entry.,DO_NOT_MAP
Heptyl Glucoside,Secondary,1,1,NOT_SAFE_TO_MAP,Decyl Glucoside,0.839,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Hydrogenated Rapeseed Oil Methylpropanediol,Primary,1,1,NOT_SAFE_TO_MAP,Rapeseed Oil,0.436,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Hydrogeneated Olive Oil,Primary,1,1,NOT_SAFE_TO_MAP,Olive Oil,0.562,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Lithium Magnesium Sodium Silicate,Secondary,1,1,NOT_SAFE_TO_MAP,Silica,0.308,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Magnesium Aluminium Silicate,Secondary,1,1,NOT_SAFE_TO_MAP,Silica,0.353,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Mallotus Japonicus Leaf Extract,Secondary,1,1,NOT_SAFE_TO_MAP,Mallotus Japonicus Bark Extract,0.903,Same source but different material,HIGH,Leaf versus bark.,DO_NOT_MAP
Manicouagan Sea Mineral Clay,Secondary,1,1,NOT_SAFE_TO_MAP,Mineral Clay,0.6,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Melon Extract,Secondary,1,1,NOT_SAFE_TO_MAP,Peony Extract,0.846,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Minerals,Secondary,1,1,NOT_SAFE_TO_MAP,Mineral Oil,0.737,No reliable equivalence,HIGH,"Names a class of materials, not a specific ingredient.",DO_NOT_MAP
Mushro0M Extract,Primary,1,1,NOT_SAFE_TO_MAP,Snow Mushroom Extract,0.811,Related chemical but not equivalent,HIGH,'Mushroom' is unspecified; the sheet lists only specific species.,DO_NOT_MAP
Mushroom Extract,Secondary,1,1,NOT_SAFE_TO_MAP,Snow Mushroom Extract,0.865,Related chemical but not equivalent,HIGH,'Mushroom' is unspecified; the sheet lists only specific species.,DO_NOT_MAP
Nargis Flower Extract,Primary,1,1,NOT_SAFE_TO_MAP,Daisy Flower Extract,0.878,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
